meal_id,name,calories
63,"Bread, toasted, wheat",313
91,"Crackers, whole-wheat",427
160,Barley flour or meal,345
162,"Garlic bread, frozen",350
171,"Rolls, wheat, dinner",273
179,"Bread, cracked-wheat",260
181,"Barley, raw, pearled",352
222,"Bread, toasted, rye",284
231,"Bread sticks, plain",412
234,"Bread, pumpernickel",250
242,"Bread, toasted, egg",315
295,"Bread, white wheat",238
299,"Rolls, rye, dinner",286
326,Vital wheat gluten,370
346,"Rye flour, medium",349
348,"Bread, wheat bran",248
353,Barley malt flour,361
370,"Wheat germ, crude",360
371,"Wheat, hard white",342
372,"Wheat bran, crude",216
394,"Wheat, soft white",340
405,"Bread, rice bran",243
417,"Rye flour, light",357
450,"Oil, wheat germ",884
451,"Bread, oat bran",236
458,"Rye flour, dark",325
469,"Breadfruit, raw",103
477,"Wheat, sprouted",198
481,"Bread, cinnamon",253
495,"Bread, oatmeal",269
496,"Bread, italian",271
509,"Barley, hulled",354
550,"Bagels, wheat",250
563,"Bread, cheese",408
564,"Bread, potato",266
589,"Bread, wheat",267
598,"Wheat, durum",339
608,Phyllo dough,299
643,"Bread, rye",259
651,"Bread, egg",287
652,Buckwheat,343
656,Rye grain,338
677,Oats,389
683,"Wheat flour, whole-grain",340
717,"Crustaceans, raw, queen, crab",90
718,"Wheat, cooked, KAMUT khorasan",132
766,"Bread, bollilo, Mexican, roll",318
774,"English muffins, whole-wheat",203
776,"Crackers, wheat, melba toast",374
778,"Crackers, plain, wafers, rye",334
796,"PEPPERIDGE FARM, White Bread",280
808,"Tennis Bread, plain (Apache)",258
827,"Bread, toasted, pumpernickel",275
828,"Bread, enriched, white, pita",275
830,"Muffins, dry mix, wheat bran",396
836,"Buckwheat flour, whole-groat",335
863,"Crackers, whole-wheat, matzo",351
869,"Seeds, raw, breadfruit seeds",191
877,"Crustaceans, raw, blue, crab",87
880,"Crackers, reduced fat, wheat",444
898,"Bread, rye, reduced-calorie",203
939,"Bread, canned, boston brown",195
1007,"Bread, toasted, wheat germ",293
1008,"Bread, kneel down (Navajo)",195
1014,"Cake, dry mix, gingerbread",437
1020,"Rolls, whole-wheat, dinner",266
1046,"Pasta, cooked, whole-wheat",149
1059,"Bread, unenriched, raisin",274
1076,"Bread, toasted, rice bran",264
1108,"Crackers, rye, crispbread",366
1116,"Crackers, low salt, wheat",473
1139,Rice and Wheat cereal bar,409
1149,"Bread, toasted, oat bran",259
1188,"Bread, whole-wheat, pita",262
1197,"Crackers, regular, wheat",455
1262,"Bread, enriched, raisin",274
1263,"Bread, toasted, oatmeal",292
1278,"Barley, cooked, pearled",123
1295,"Pasta, dry, whole-wheat",352
1308,"English muffins, wheat",223
1315,"Bread, sprouted, wheat",188
1327,"Cereals, dry, WHEATENA",357
1353,"Wheat, hard red spring",329
1354,"Wheat, soft red winter",331
1355,"Wheat, hard red winter",327
1372,"KEEBLER, Wheat Crackers, TOASTEDS",466
1392,"Crustaceans, raw, alaska king, crab",84
1398,"Bread, sweet yeast bread, pan dulce",367
1418,"Cookies, refrigerated dough, sugar",436
1452,"Bread stuffing, dry mix, cornbread",389
1466,"Doughnuts, glazed, french crullers",412
1484,"Crackers, reduced fat, whole-wheat",416
1497,"Wheat flour, enriched, cake, white",362
1510,"Focaccia, plain, Italian flatbread",249
1524,"Frybread, made with lard (Apache)",309
1554,"Frybread, made with lard (Navajo)",330
1556,"PEPPERIDGE FARM, Deli Swirl Bread",247
1578,"Crustaceans, raw, dungeness, crab",86
1580,"Bread, somiviki (Hopi), blue corn",186
1589,"Seeds, dried, breadnut tree seeds",367
1593,"Chicken, fried, breaded, meatless",234
1601,"Buckwheat groats, cooked, roasted",92
1632,"Soup, ready to serve, beef barley",52
1636,"Pie crust, dry mix, standard-type",518
1660,"Bread crumbs, plain, grated, dry",395
1690,"Cereals, Dry, Quick Oats, QUAKER",371
1691,"Cookies, reduced fat, shortbread",451
1695,"Seeds, roasted, breadfruit seeds",207
1723,"Bread, oat bran, reduced-calorie",201
